"","Tm","X.Bat","BatAge","R.G","G","PA","AB","RS","Hits.Made","X2B","X3B","HR.Made","RBI","SB","CS","BB.Made","SO.Batting","BA","OBP","SLG","OPS","OPS.PLUS","TB","GDP","HBP.Batting","SH","SF","IBB.Batting","LOB.Batting","X.P","PAge","RAperG","W","L","W.L.","ERA","GS","GF","CG","tSho","cSho","SV","IP","Hits.Allowed","RA","ER","HR.Allowed","BB.Allowed","IBB.Pitching","SO.Pitching","HBP.Pitching","BK","WP","BF","ERA.PLUS","FIP","WHIP","H9","HR9","BB9","SO9","SO.Walk","LOB.Pitching","year","RS.RA","PO","WS","X.Fld","RunsAllowedPerGame","DefEff","Inn","Ch","PO.Fielding","A","E","DP","Fld.Percent","Rtot","Rtot.yr"
"1","Atlanta Braves",39,29,4.27,162,6100,5460,691,1411,195,22,141,640,59,48,485,665,0.258,0.321,0.38,0.7,95,2073,130,32,87,34,67,1107,18,27.5,3.9,93,69,0.574,3.53,162,124,38,7,7,42,1445,1334,631,566,144,438,49,893,27,4,40,6042,103,3.53,1.226,8.3,0.9,2.7,5.6,2.04,1076,1969,60,1,0,39,3.9,0.721,13005,6085,4335,1635,115,114,0.981,50,5
"2","Baltimore Orioles",30,28.1,4.81,162,6328,5518,779,1465,234,29,175,722,82,45,634,806,0.265,0.343,0.414,0.756,110,2282,138,43,74,59,62,1200,14,27.7,3.19,109,53,0.673,2.83,162,112,50,20,19,36,1473.2,1194,517,463,117,498,55,897,22,4,34,5972,126,3.38,1.148,7.3,0.7,3,5.5,1.8,1033,1969,262,1,1,30,3.19,0.743,13263,6240,4410,1729,101,145,0.984,114,10
"3","Boston Red Sox",40,26.1,4.59,162,6295,5494,743,1381,234,37,197,701,41,47,658,923,0.251,0.333,0.415,0.748,104,2280,125,32,67,43,61,1164,19,26.5,4.54,87,75,0.537,3.92,162,132,30,7,4,41,1466.2,1423,736,639,155,685,42,935,48,5,61,6391,98,4.11,1.437,8.7,1,4.2,5.7,1.37,1257,1969,7,0,0,40,4.54,0.7,13200,6316,4381,1778,157,178,0.975,-2,0
"4","California Angels",45,26.1,3.24,163,5983,5316,528,1221,151,29,88,480,54,39,516,929,0.23,0.3,0.319,0.618,78,1694,105,32,75,41,65,1115,19,26.6,4,71,91,0.438,3.54,163,138,25,9,6,39,1438.1,1294,652,566,126,517,46,885,51,7,64,5998,98,3.6,1.259,8.1,0.8,3.2,5.5,1.71,1032,1969,-124,0,0,45,4,0.716,12947,6205,4313,1756,136,164,0.978,25,2
"5","Chicago Cubs",41,29.2,4.42,163,6245,5530,720,1400,215,40,142,671,30,32,559,928,0.253,0.323,0.384,0.707,88,2121,111,36,72,46,58,1186,17,27.6,3.75,92,70,0.568,3.34,163,105,58,22,18,27,1454.1,1366,611,540,118,475,72,1017,29,4,39,6103,121,3.2,1.266,8.5,0.7,2.9,6.3,2.14,1129,1969,109,0,0,39,3.75,0.7,13089,6367,4363,1868,136,149,0.979,-11,-1
"6","Chicago White Sox",43,27.2,3.86,162,6160,5450,625,1346,210,27,112,585,54,22,552,844,0.247,0.32,0.357,0.677,85,1946,119,49,70,37,45,1189,20,28.4,4.46,68,94,0.42,4.21,162,133,29,10,9,25,1437.2,1470,723,672,146,564,70,810,33,4,59,6204,93,3.95,1.415,9.2,0.9,3.5,5.1,1.44,1168,1969,-98,0,0,43,4.46,0.698,12939,6418,4299,1997,122,163,0.981,-18,-2
"7","Cincinnati Reds",36,26.3,4.9,163,6305,5634,798,1558,224,42,171,750,79,56,474,1042,0.277,0.335,0.422,0.757,107,2379,117,46,100,47,63,1134,17,27.3,4.71,89,73,0.549,4.11,163,140,23,11,7,44,1465,1478,768,669,149,611,78,818,56,6,76,6433,91,4.08,1.426,9.1,0.9,3.8,5,1.34,1270,1969,30,0,0,33,4.71,0.7,13185,6321,4395,1758,168,158,0.973,-14,-1
"8","Cleveland Indians",40,27.3,3.56,161,6015,5365,573,1272,173,24,119,534,85,37,535,906,0.237,0.307,0.345,0.652,80,1850,147,24,47,43,49,1077,16,27.3,4.45,62,99,0.385,3.94,161,126,35,7,7,22,1437,1330,717,629,134,681,79,1000,48,6,50,6226,95,3.85,1.399,8.3,0.8,4.3,6.3,1.47,1198,1969,-144,0,0,40,4.45,0.704,12932.2,6035,4301,1589,145,153,0.976,-46,-4
"9","Detroit Tigers",34,28.9,4.33,162,6155,5441,701,1316,188,29,182,649,35,28,578,922,0.242,0.316,0.387,0.703,92,2108,113,30,63,43,43,1118,16,28.1,3.71,90,72,0.556,3.31,162,107,55,20,18,28,1455.1,1250,601,536,128,586,39,1032,34,5,49,6105,113,3.51,1.262,7.7,0.8,3.6,6.4,1.76,1138,1969,100,0,0,33,3.71,0.721,13098,6090,4361,1599,130,130,0.979,32,3
"10","Houston Astros",37,26.5,4.17,162,6197,5348,676,1284,208,40,104,618,101,58,699,972,0.24,0.33,0.352,0.683,93,1884,109,41,68,40,70,1212,18,25.6,4.12,81,81,0.5,3.6,162,110,52,11,9,34,1435.2,1347,668,574,111,547,65,1221,35,9,73,6126,99,3.03,1.319,8.4,0.7,3.4,7.7,2.23,1151,1969,8,0,0,36,4.12,0.683,12921,6084,4307,1624,153,136,0.975,-72,-7
